provider,model,survey,case,DRIPre,DRIPost,DRIPreV2,DRIPostV2,human_only_DRIPre_mean,human_only_DRIPost_mean,human_only_DRIPre_meanV2,human_only_DRIPost_meanV2,DRIPre_diff,DRIPost_diff,bm_index,DRIPre_diffV2,DRIPost_diffV2,bm_indexV2
anthropic,claude-3-5-haiku-20241022,acp,Citizen Parliamentarian,0.01689129944249279,0.01377526769097659,-0.09869092844180682,-0.046995668532243906,0.11827643219816546,0.018872806977911938,-0.006434360071564582,-0.04012742075533357,-0.10138513275567267,-0.005097539286935349,0.4987256151782662,-0.09225656837024224,-0.006868247776910336,0.4982829380557724
anthropic,claude-3-5-sonnet-20241022,acp,Citizen Parliamentarian,0.2568055017503321,0.14562461173305885,0.1468953987707191,0.1456246117330593,0.11827643219816546,0.018872806977911938,-0.006434360071564582,-0.04012742075533357,0.13852906955216665,0.1267518047551469,0.5316879511887868,0.1533297588422837,0.18575203248839287,0.5464380081220982
anthropic,claude-3-7-sonnet-20250219,acp,Citizen Parliamentarian,0.21768965382158223,0.10664312992471614,-0.026872075937924067,0.04486063028001053,0.11827643219816546,0.018872806977911938,-0.006434360071564582,-0.04012742075533357,0.09941322162341677,0.0877703229468042,0.5219425807367011,-0.020437715866359486,0.0849880510353441,0.521247012758836
anthropic,claude-3-haiku-20240307,acp,Citizen Parliamentarian,0.13864597707030235,0.09397250395884038,0.13864597707030235,0.09397250395884038,0.11827643219816546,0.018872806977911938,-0.006434360071564582,-0.04012742075533357,0.020369544872136894,0.07509969698092844,0.5187749242452321,0.14508033714186694,0.13409992471417395,0.5335249811785435
anthropic,claude-3-opus-20240229,acp,Citizen Parliamentarian,0.154193471482043,0.04445761259845349,0.154193471482043,0.04445761259845349,0.11827643219816546,0.018872806977911938,-0.006434360071564582,-0.04012742075533357,0.03591703928387753,0.02558480562054155,0.5063962014051354,0.16062783155360758,0.08458503335378706,0.5211462583384467
cohere,command,acp,Citizen Parliamentarian,0.06484606599204468,0.0593136041023663,-0.168899225647687,-0.1785430963972816,0.11827643219816546,0.018872806977911938,-0.006434360071564582,-0.04012742075533357,-0.05343036620612078,0.040440797124454364,0.5101101992811136,-0.1624648655761224,-0.13841567564194804,0.46539608108951297
cohere,command-r-08-2024,acp,Citizen Parliamentarian,0.20847878984040058,-0.17807519709935393,0.20847878984040058,-0.23529493792062572,0.11827643219816546,0.018872806977911938,-0.006434360071564582,-0.04012742075533357,0.09020235764223512,-0.19694800407726587,0.4507629989806835,0.21491314991196517,-0.19516751716529215,0.45120812070867694
cohere,command-r-plus-08-2024,acp,Citizen Parliamentarian,0.1651701392058995,-0.0861781730798784,-0.1895244351331593,-0.1447541798307196,0.11827643219816546,0.018872806977911938,-0.006434360071564582,-0.04012742075533357,0.046893707007734056,-0.10505098005779034,0.4737372549855524,-0.18309007506159472,-0.10462675907538602,0.4738433102311535
cohere,command-r7b-12-2024,acp,Citizen Parliamentarian,0.1759282899611292,-0.09530049069848912,-0.0716092751906976,-0.09530049069848912,0.11827643219816546,0.018872806977911938,-0.006434360071564582,-0.04012742075533357,0.057651857762963735,-0.11417329767640105,0.47145667558089976,-0.06517491511913301,-0.055173069943155545,0.4862067325142111
deepseek,deepseek-chat,acp,Citizen Parliamentarian,-0.10369112843597683,-0.13491655889213194,-0.10369112843597683,-0.19152031996833774,0.11827643219816546,0.018872806977911938,-0.006434360071564582,-0.04012742075533357,-0.2219675606341423,-0.15378936587004388,0.46155265853248906,-0.09725676836441224,-0.15139289921300417,0.46215177519674894
